event_type,eligible_events,events_with_360_file,events_with_freeze_frame,events_with_visible_area,events_with_visible_actor,valid_context_events,freeze_frame_coverage_rate,visible_area_coverage_rate,actor_visible_rate,valid_context_rate
50/50,236,198,198,198,198,198,0.8389830508474576,0.8389830508474576,0.8389830508474576,0.8389830508474576
Bad Behaviour,44,0,0,0,0,0,0.0,0.0,0.0,0.0
Ball Receipt*,63699,57217,57217,57217,57217,57217,0.8982401607560558,0.8982401607560558,0.8982401607560558,0.8982401607560558
Ball Recovery,5821,5197,5197,5197,5197,5197,0.8928019240680295,0.8928019240680295,0.8928019240680295,0.8928019240680295
Block,2386,2094,2094,2094,2094,2094,0.8776194467728415,0.8776194467728415,0.8776194467728415,0.8776194467728415
Carry,53764,49406,49406,49406,49406,49406,0.9189420430027527,0.9189420430027527,0.9189420430027527,0.9189420430027527
Clearance,2684,2476,2476,2476,2476,2476,0.9225037257824144,0.9225037257824144,0.9225037257824144,0.9225037257824144
Dispossessed,1431,1200,1200,1200,1200,1200,0.8385744234800838,0.8385744234800838,0.8385744234800838,0.8385744234800838
Dribble,1793,1477,1477,1477,1477,1477,0.8237590630228667,0.8237590630228667,0.8237590630228667,0.8237590630228667
Dribbled Past,1036,871,871,871,871,871,0.8407335907335908,0.8407335907335908,0.8407335907335908,0.8407335907335908
Duel,4389,3777,3777,3777,3777,3777,0.8605604921394395,0.8605604921394395,0.8605604921394395,0.8605604921394395
Error,28,23,23,23,23,23,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714
Foul Committed,1775,1520,1520,1520,1520,1520,0.856338028169014,0.856338028169014,0.856338028169014,0.856338028169014
Foul Won,1693,1443,1443,1443,1443,1443,0.852333136444182,0.852333136444182,0.852333136444182,0.852333136444182
Goal Keeper,1790,778,778,778,778,778,0.4346368715083799,0.4346368715083799,0.4346368715083799,0.4346368715083799
Half End,286,0,0,0,0,0,0.0,0.0,0.0,0.0
Half Start,286,0,0,0,0,0,0.0,0.0,0.0,0.0
Injury Stoppage,403,0,0,0,0,0,0.0,0.0,0.0,0.0
Interception,1371,1275,1275,1275,1275,1275,0.9299781181619255,0.9299781181619255,0.9299781181619255,0.9299781181619255
Miscontrol,1755,1496,1496,1496,1496,1496,0.8524216524216525,0.8524216524216525,0.8524216524216525,0.8524216524216525
Offside,26,23,23,23,23,23,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
Own Goal Against,3,2,2,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Own Goal For,3,2,2,2,2,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Pass,68515,57393,57393,57393,57393,57393,0.8376705830839962,0.8376705830839962,0.8376705830839962,0.8376705830839962
Player Off,74,0,0,0,0,0,0.0,0.0,0.0,0.0
Player On,74,0,0,0,0,0,0.0,0.0,0.0,0.0
Pressure,16554,14504,14504,14504,14504,14504,0.8761628609399541,0.8761628609399541,0.8761628609399541,0.8761628609399541
Referee Ball-Drop,162,2,2,2,2,2,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.012345679012345678
Shield,104,62,62,62,62,62,0.5961538461538461,0.5961538461538461,0.5961538461538461,0.5961538461538461
Shot,1494,1446,1446,1446,1446,1446,0.9678714859437751,0.9678714859437751,0.9678714859437751,0.9678714859437751
Starting XI,128,0,0,0,0,0,0.0,0.0,0.0,0.0
Substitution,587,0,0,0,0,0,0.0,0.0,0.0,0.0
Tactical Shift,243,0,0,0,0,0,0.0,0.0,0.0,0.0
