outcome,step,excluded,remaining
pressing_intensity,initial_windows,0,2822
pressing_intensity,exclude_extra_time,80,2742
pressing_intensity,exclude_invalid_score_state,0,2742
pressing_intensity,exclude_numerical_inequality,20,2722
pressing_intensity,exclude_mixed_score_state,198,2524
pressing_intensity,exclude_missing_opponent_passes,0,2524
pressing_intensity,exclude_opponent_passes_below_5,145,2379
sequence_regain_efficiency,initial_windows,0,2822
sequence_regain_efficiency,exclude_extra_time,80,2742
sequence_regain_efficiency,exclude_invalid_score_state,0,2742
sequence_regain_efficiency,exclude_numerical_inequality,20,2722
sequence_regain_efficiency,exclude_mixed_score_state,198,2524
sequence_regain_efficiency,exclude_invalid_sequence_trials,0,2524
sequence_regain_efficiency,exclude_sequences_below_3,470,2054
sequence_regain_efficiency,exclude_successes_above_trials,0,2054
